source,target,n
462,2004,2
1262,2004,2
1305,2004,8
649,2004,2
671,2004,2
1224,2004,2
1788,2004,2
1790,2004,7
1820,2004,8
1889,2004,6
1800,2006,2
545,2092,5
975,2092,6
1324,2092,3
1324,2012,2
1326,2012,3
1328,2012,2
726,2012,2
744,2012,3
1880,2012,2
1882,2012,3
84,2017,2
598,2017,2
1870,2017,2
84,2026,2
598,2026,2
1870,2026,2
2017,2026,2
474,2031,3
1192,2042,4
1809,2042,3
576,2043,2
1342,2043,2
1946,2043,2
1980,2043,2
79,2046,2
630,2046,2
1769,2046,2
1777,2048,2
973,2049,4
1206,2049,4
1324,2053,2
1512,2053,2
119,2055,2
1692,2055,2
1993,2055,2
1999,2055,3
235,2054,2
932,2054,2
1324,2054,9
7400,2054,2
597,2054,4
808,2054,2
1631,2054,2
331,2051,2
1951,2051,2
901,2052,2
330,2057,2
1959,2057,2
63,2069,2
141,2069,2
324,2069,2
1524,2069,2
994,2073,11
1324,2073,4
21,2075,2
593,2075,2
387,2075,2
426,2075,2
959,2075,2
1057,2075,2
1197,2075,3
1201,2075,2
1232,2075,2
1314,2075,6
1324,2075,10
1338,2075,2
1402,2075,2
1572,2075,2
1578,2075,2
620,2075,2
682,2075,5
2431,2075,2
1685,2075,2
1782,2075,3
1978,2075,2
1146,2080,2
827,2080,2
1974,2080,2
58,2082,4
487,2082,4
1317,2083,2
1496,2083,3
1548,2083,4
1877,2083,2
1895,2083,4
1928,2083,2
341,2084,3
931,2084,2
37,2077,2
1,2087,8
242,2087,2
1324,2087,4
1189,2090,2
1025,2094,2
1945,2094,2
585,2099,2
496,2099,2
505,2099,2
893,2099,2
253,2100,2
914,2100,2
962,2100,2
1359,2100,2
1816,2100,2
1835,2100,2
1887,2101,2
1216,2101,2
113,2103,2
593,2103,8
387,2103,10
426,2103,2
439,2103,2
466,2103,2
914,2103,2
931,2103,4
994,2103,5
1037,2103,4
1062,2103,3
1134,2103,2
1216,2103,14
1324,2103,39
1338,2103,2
1578,2103,2
